setting:	(prec, auc)
crop_nonloc_39_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.2279999999999998)
crop_nonloc_37_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.227466666666666)
crop_eq_opening_21_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.226683333333333)
crop_eq_opening_21_cv.TM_SQDIFF:	(0.7333333333333333, 2.221766666666666)
crop_eq_opening_23_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.2160999999999995)
crop_opening_17_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.215483333333333)
crop_eq_opening_nonloc_25_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.212083333333333)
crop_eq_opening_17_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.209883333333333)
crop_eq_opening_13_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.20615)
crop_eq_opening_nonloc_21_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.199133333333333)
crop_eq_opening_29_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.185883333333333)
crop_opening_9_cv.TM_CCOEFF:	(0.7333333333333333, 2.185683333333333)
crop_opening_nonloc_9_cv.TM_CCOEFF:	(0.7333333333333333, 2.185183333333333)
crop_opening_11_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.184483333333333)
crop_opening_11_cv.TM_CCOEFF:	(0.7333333333333333, 2.182949999999999)
crop_eq_opening_11_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.181116666666666)
crop_opening_nonloc_11_cv.TM_CCOEFF:	(0.7333333333333333, 2.180716666666666)
crop_eq_opening_nonloc_41_cv.TM_SQDIFF_NORMED:	(0.7333333333333333, 2.180599999999999)
crop_eq_opening_nonloc_21_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.179083333333333)
crop_eq_opening_nonloc_19_cv.TM_SQDIFF:	(0.7333333333333333, 2.175966666666666)
crop_opening_29_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.152783333333333)
crop_eq_opening_nonloc_13_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.1347166666666664)
crop_eq_nonloc_11_cv.TM_SQDIFF:	(0.7333333333333333, 2.106883333333333)
crop_eq_nonloc_13_cv.TM_SQDIFF:	(0.7333333333333333, 2.097283333333333)
crop_opening_nonloc_23_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.094383333333333)
crop_eq_nonloc_15_cv.TM_SQDIFF:	(0.7333333333333333, 2.075016666666666)
crop_opening_nonloc_25_cv.TM_CCOEFF_NORMED:	(0.7333333333333333, 2.060683333333333)
crop_eq_opening_5_cv.TM_SQDIFF:	(0.7333333333333333, 1.9769499999999998)
